sample,measurement_elapsed_s,render_fps,process_cpu_pct,process_memory_gib,capture_hz,inference_hz,detector_hz,landmark_hz,tracking_hz,capture_to_apply_p50_ms,capture_to_apply_p95_ms,slot_overwrites,inference_input_overwrites,no_face_frames,avatar_frames_applied,avatar_frames_skipped,capture_worker,inference_worker,tracking_state,stage_percentiles
0,0.000,59.733,6.028,0.845,30.000,29.000,0.000,0.000,30.000,22.625,30.611,0,381,78,601,0,Running,Running,Tracking,inference_Wait:25.666:41.633|inference_Total:6.341:7.407
1,60.000,59.632,5.204,0.851,30.000,29.000,0.000,0.000,30.000,22.248,30.213,0,2181,78,4201,0,Running,Running,Tracking,inference_Wait:25.777:41.624|inference_Total:6.244:7.219
2,120.000,58.021,5.369,0.854,30.000,29.000,0.000,0.000,60.000,22.352,30.452,0,3981,399,7801,0,Running,Running,Searching,inference_Wait:25.620:41.479|inference_Total:6.411:7.456
3,180.000,58.134,6.220,0.855,30.000,29.000,0.000,0.000,30.000,21.261,30.073,0,5781,1260,11401,0,Running,Running,Tracking,inference_Wait:25.789:41.604|inference_Total:6.247:7.386
4,240.000,58.837,6.512,0.862,30.000,29.000,0.000,0.000,30.000,21.736,30.359,0,7581,1260,15001,0,Running,Running,Tracking,inference_Wait:25.708:41.712|inference_Total:6.260:7.349
5,300.016,60.295,5.093,0.857,29.000,30.000,0.000,0.000,30.000,21.378,30.308,0,9381,1260,18602,0,Running,Running,Tracking,inference_Wait:25.766:41.627|inference_Total:6.240:7.219
6,360.017,59.313,4.911,0.857,29.000,30.000,0.000,0.000,30.000,21.550,29.434,0,11181,1260,22202,0,Running,Running,Tracking,inference_Wait:25.799:41.653|inference_Total:6.213:7.196
7,420.000,59.237,4.087,0.858,30.000,29.000,0.000,0.000,30.000,21.177,29.873,0,12981,1260,25801,0,Running,Running,Tracking,inference_Wait:25.761:41.523|inference_Total:6.286:7.317
8,480.000,58.748,4.327,0.858,30.000,29.000,0.000,0.000,30.000,22.119,31.213,0,14781,1260,29401,0,Running,Running,Tracking,inference_Wait:25.716:41.499|inference_Total:6.332:7.283
9,540.017,60.065,4.728,0.860,29.000,30.000,0.000,0.000,30.000,21.353,31.118,0,16581,1305,33002,0,Running,Running,Tracking,inference_Wait:25.709:41.329|inference_Total:6.319:7.400
10,600.017,58.997,2.404,0.865,29.000,30.000,0.000,0.000,30.000,21.997,29.914,0,18381,1305,36602,0,Running,Running,Tracking,inference_Wait:25.740:41.133|inference_Total:6.331:7.334
11,660.017,59.824,3.738,0.860,29.000,30.000,0.000,0.000,30.000,21.317,30.951,0,20181,1305,40202,0,Running,Running,Tracking,inference_Wait:25.746:41.204|inference_Total:6.290:7.524
12,720.000,58.818,4.100,0.860,30.000,30.000,0.000,0.000,30.000,21.278,29.929,0,21981,1305,43801,0,Running,Running,Tracking,inference_Wait:25.818:41.291|inference_Total:6.214:7.118
13,780.016,59.842,3.606,0.852,29.000,30.000,0.000,0.000,30.000,21.379,30.929,0,23781,1305,47402,0,Running,Running,Tracking,inference_Wait:25.820:41.053|inference_Total:6.194:7.221
14,840.016,60.741,3.118,0.852,29.000,30.000,0.000,0.000,31.000,21.450,29.960,0,25581,1305,51002,0,Running,Running,Tracking,inference_Wait:25.830:41.384|inference_Total:6.218:7.201
15,900.016,59.253,3.812,0.853,29.000,30.000,0.000,0.000,31.000,21.052,30.822,0,27381,1305,54602,0,Running,Running,Tracking,inference_Wait:25.823:41.338|inference_Total:6.201:7.094
16,960.016,60.016,3.125,0.859,30.000,30.000,0.000,0.000,31.000,21.292,31.035,0,29182,1305,58202,0,Running,Running,Tracking,inference_Wait:25.812:41.266|inference_Total:6.210:7.179
17,1020.016,60.419,4.989,0.854,30.000,30.000,0.000,0.000,31.000,21.408,29.618,0,30982,1305,61802,0,Running,Running,Tracking,inference_Wait:25.815:41.154|inference_Total:6.201:7.190
