sample,timestamp,working_set_bytes,private_memory_bytes,thread_count,handle_count,responding,cpu_seconds
"0","2026-08-12T19:18:18.7253531+09:00","908324864","1780883456","137","1696","True","104.90625"
"1","2026-08-12T19:19:18.7291470+09:00","915070976","1783926784","138","1800","True","193.25"
"2","2026-08-12T19:20:18.7431379+09:00","917778432","1788661760","130","1770","True","282.203125"
"3","2026-08-12T19:21:18.7445601+09:00","918675456","1787158528","130","1756","True","367.53125"
"4","2026-08-12T19:22:18.7336909+09:00","919891968","1788207104","131","1759","True","454.234375"
"5","2026-08-12T19:23:18.7347889+09:00","920018944","1788260352","129","1751","True","539.421875"
"6","2026-08-12T19:24:18.7365508+09:00","920100864","1788116992","126","1739","True","626.171875"
"7","2026-08-12T19:25:18.7398829+09:00","921067520","1790189568","125","1735","True","713.5625"
"8","2026-08-12T19:26:18.7468102+09:00","921300992","1790324736","127","1739","True","798.71875"
"9","2026-08-12T19:27:18.7436745+09:00","922992640","1791696896","125","1735","True","883.0625"
"10","2026-08-12T19:28:18.7501965+09:00","923176960","1791660032","125","1735","True","967.15625"
"11","2026-08-12T19:29:18.7426959+09:00","923422720","1791700992","126","1737","True","1052.46875"
"12","2026-08-12T19:30:18.7402950+09:00","923545600","1791668224","125","1735","True","1134.390625"
"13","2026-08-12T19:31:18.7506609+09:00","915902464","1796247552","125","1703","True","1215.625"
"14","2026-08-12T19:32:18.7532668+09:00","917741568","1795391488","125","1703","True","1299.3125"
"15","2026-08-12T19:33:18.7545188+09:00","916275200","1793413120","125","1703","True","1380.5"
"16","2026-08-12T19:34:18.7420020+09:00","916459520","1796136960","127","1721","True","1464.515625"
"17","2026-08-12T19:35:18.7525523+09:00","916647936","1796263936","129","1725","True","1549.078125"
"18","2026-08-12T19:36:18.7548885+09:00","916705280","1796136960","125","1711","True","1630.390625"
"19","2026-08-12T19:37:18.7535408+09:00","917721088","1797005312","125","1711","True","1709.375"
"20","2026-08-12T19:38:18.7559151+09:00","919810048","1800699904","125","1711","True","1790.65625"
"21","2026-08-12T19:39:18.7479200+09:00","919572480","1798590464","125","1711","True","1871.171875"
"22","2026-08-12T19:40:18.7524889+09:00","922480640","1802149888","125","1711","True","1949.375"
"23","2026-08-12T19:41:18.7585101+09:00","926175232","1804931072","125","1711","True","2029.71875"
"24","2026-08-12T19:42:18.7508129+09:00","920870912","1799426048","126","1716","True","2109.328125"
"25","2026-08-12T19:43:18.7538427+09:00","922234880","1802162176","125","1711","True","2189.9375"
"26","2026-08-12T19:44:18.7536272+09:00","922558464","1802956800","125","1711","True","2278.265625"
"27","2026-08-12T19:45:18.7568770+09:00","928636928","1806798848","125","1711","True","2365.59375"
"28","2026-08-12T19:46:18.7542525+09:00","923426816","1804029952","125","1711","True","2454.890625"
"29","2026-08-12T19:47:18.7559898+09:00","925663232","1805676544","125","1711","True","2542.703125"
"30","2026-08-12T19:48:18.7600191+09:00","927727616","1805713408","126","1712","True","2632.15625"
